CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;40983;A;6;1;18982;262
58;1;40984;A;6;1;25124;262
58;1;40985;A;6;1;14936;262
58;1;40986;A;6;1;26455;262
58;1;40987;A;6;1;17906;262
58;1;41100;A;6;1;24316;4885
58;1;41101;A;6;1;24199;4885
58;1;41103;A;6;1;4920;4885
58;1;41307;A;6;4;24132;675
58;1;41308;A;6;4;28522;675
58;1;41309;A;6;4;7782;675
58;1;41310;A;6;4;28652;675
58;1;41311;A;6;4;27720;675
58;1;41312;A;6;4;18002;675
58;1;41313;A;6;4;5285;675
58;1;41403;A;6;4;11639;280
58;1;41404;A;6;1;649;302
58;1;41407;A;5;2;6602;56826
58;1;41408;A;5;2;23124;280
58;1;41409;A;5;2;25525;280
58;1;41410;A;5;2;8023;52567
58;1;41411;A;5;2;21609;52571
58;1;42062;A;6;4;17101;52851
58;1;42065;A;6;4;17102;689
58;1;42066;A;6;4;17100;2921
58;1;42067;A;6;4;12557;675
58;1;42068;A;6;4;17091;300
58;1;42078;A;5;2;4139;1
58;1;42080;A;5;2;4140;1
58;1;42082;A;5;2;4142;1
58;1;42083;A;5;2;4141;1
58;1;42084;A;5;2;2655;42069
58;1;42332;A;6;4;6075;42305
58;1;42333;A;6;4;6439;42305
58;1;42479;A;6;1;25293;539
58;1;43058;A;6;4;740;1902
58;1;43449;A;6;8;20077;37205
58;1;44226;A;6;5;18848;261
58;1;44227;A;6;5;17269;261
58;1;44228;A;6;5;25113;261
58;1;44229;A;6;5;27462;261
58;1;44230;A;6;5;19870;261
58;1;44401;A;6;8;20102;37205
58;1;44402;A;6;8;20101;37205
58;1;45645;A;6;1;25483;271
58;1;45646;A;12;0;18890;271
58;1;45647;A;12;0;25150;271
58;1;45648;A;12;0;27489;271
58;1;45649;A;12;0;17286;271
58;1;45650;A;12;0;19894;271
58;1;46056;A;6;4;6888;356
58;1;46057;A;6;4;7940;356
58;1;46058;A;6;4;17099;356
58;1;46059;A;6;4;26417;356
58;1;46427;A;6;4;3860;4716
58;1;46428;A;6;4;2135;4716
58;1;46429;A;6;4;18979;4958
58;1;46430;A;6;4;24441;5016
58;1;46431;A;6;4;11011;4958
58;1;46432;A;6;4;10808;4716
58;1;46433;A;6;4;2980;4714
58;1;46434;A;6;4;2982;4805
58;1;46435;A;6;4;10429;4783
58;1;46982;A;6;1;11625;295
58;1;48361;A;6;7;20085;480
58;1;48362;A;6;7;20086;480
58;1;48363;A;6;7;20088;480
58;1;48365;A;6;7;20084;480
58;1;48373;A;6;5;25266;1
58;1;48374;A;6;5;20417;262
58;1;48548;A;12;0;28091;313
58;1;48943;A;6;1;8468;480
58;1;48944;A;6;1;4734;524
58;1;48945;A;12;0;13594;330
58;1;48946;A;12;0;3184;346
58;1;49307;A;6;4;12557;1655
58;1;49309;A;6;1;18984;256
58;1;49310;A;6;1;25126;256
58;1;49311;A;6;1;6827;566
58;1;49312;A;6;1;6632;619
58;1;49313;A;6;1;5646;619
58;1;51471;A;6;1;25057;278
58;1;52164;A;6;4;7609;452
58;1;52165;A;6;4;6848;38941
58;1;52211;A;6;4;16759;452
58;1;52257;A;6;4;19791;588
58;1;52258;A;6;4;26142;721
58;1;52271;A;6;1;12221;258
58;1;52272;A;6;1;24138;258
58;1;52273;A;6;4;11354;452
58;1;52300;A;6;1;18904;258
58;1;52301;A;6;1;18911;258
58;1;52302;A;6;1;25165;258
58;1;52303;A;6;1;25161;258
58;1;53041;A;6;4;16411;526
58;1;53042;A;6;4;11671;623
58;1;53043;A;6;4;2952;612
58;1;53044;A;6;4;7941;2921
58;1;54100;A;6;1;24121;4081
58;1;54192;A;6;4;24765;3199
58;1;54252;A;6;1;28585;316
58;1;54487;A;6;1;22628;5281
58;1;54491;A;12;0;26364;2601
58;1;54949;A;6;4;17974;675
58;1;55726;A;6;1;24201;262
58;1;55728;A;12;0;10488;311
58;1;55961;A;6;8;14335;393
58;1;55962;A;6;8;10808;393
58;1;55963;A;6;8;22804;393
58;1;55964;A;6;8;1038;393
58;1;55965;A;6;8;8424;393
58;1;56827;A;5;2;19314;52588
58;1;60759;A;5;2;22094;633
