CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;9012;L;3;0;B74;;3627;4554;50439;;1
58;1;9013;L;3;0;B75;;5795;4554;50440;;1
58;1;9014;L;3;0;B75;;4554;4861;50440;;1
58;1;9015;L;3;0;B75;;4861;10428;50440;;1
58;1;9016;L;3;0;B75;;10428;25603;50440;;1
58;1;9017;L;3;0;B76;;16254;7582;50441;;256
58;1;9018;L;3;0;B76;;7582;13448;50441;;256
58;1;9019;L;3;0;B76;;13448;23055;50441;;256
58;1;9020;L;3;0;B77;;12665;21417;50442;;256
58;1;9021;L;3;0;B77;;21417;23055;50442;;256
58;1;9023;L;3;0;B8;;20151;20513;50444;;293
58;1;9024;L;3;0;B8;;20513;21217;50444;;264
58;1;9025;L;3;0;B8;;21217;18358;50444;;296
58;1;9026;L;3;0;B8;;18358;18999;50444;;264
58;1;9027;L;3;0;B8;;18999;18452;50444;;291
58;1;9028;L;3;0;B8;;18452;28269;50444;;264
58;1;9029;L;3;0;B8;;16666;27370;50444;;303
58;1;9030;L;3;0;B8;;1728;10521;50444;;1
58;1;9031;L;3;0;B8;;2656;15741;50444;;261
58;1;9032;L;3;0;B8;;15741;937;50444;;1
58;1;9033;L;3;0;B8;;937;14349;50444;;287
58;1;9034;L;3;0;B8;;14349;6519;50444;;260
58;1;9036;L;3;0;B8;;6387;7111;50444;;260
58;1;9037;L;3;0;B82;;21647;9386;50445;;258
58;1;9038;L;3;0;B82;;9386;23649;50445;;258
58;1;9039;L;3;0;B83;;2740;12274;50446;;1
58;1;9040;L;3;0;B83;;12274;10481;50446;;258
58;1;9041;L;3;0;B84;;26146;6895;50447;;1
58;1;9042;L;3;0;B84;;6895;24164;50447;;271
58;1;9043;L;3;0;B85;;20151;21213;50448;;293
58;1;9044;L;3;0;B85;;21213;5349;50448;;264
58;1;9045;L;3;0;B85;;5349;1338;50448;;296
58;1;9046;L;3;0;B85;;1338;3228;50448;;264
58;1;9047;L;3;0;B85;;3228;14151;50448;;295
58;1;9048;L;3;0;B85;;14151;22494;50448;;1
58;1;9049;L;3;0;B87;;12422;17955;50449;;1
58;1;9050;L;3;0;B87;;15454;25568;50449;;288
58;1;9051;L;3;0;B87;;25568;16035;50449;;1
58;1;9052;L;3;0;B87;;16035;8124;50449;;267
58;1;9053;L;3;0;B88;;12728;17955;50450;;1
58;1;9054;L;3;0;B9;;28229;16094;50451;;262
58;1;9056;L;3;0;B9;;16442;13841;50451;;262
