CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;14155;P;1;12;;;3018;;2394;;54892;;1;1;1;1;1;1;;;+00841940;+4858610;0;0
58;1;14156;P;1;12;;;23793;;2394;;54892;;1;1;1;1;1;1;;;+00843740;+4860420;0;0
58;1;14157;P;1;12;;;18498;;53038;;54892;;1;1;1;1;1;1;;;+00856710;+4868805;0;0
58;1;14158;P;1;12;;;6051;;1986;;54892;;1;1;1;1;1;1;;;+00858020;+4881640;0;0
58;1;14159;P;1;12;;;18197;;1986;;54892;;1;1;1;1;1;1;;;+00860080;+4883980;0;0
58;1;14160;P;3;1;;;18196;;1986;;54892;;0;0;0;0;1;1;;;+00859860;+4884570;0;0
58;1;14161;P;1;3;;;8222;;417;;8709;;1;0;0;1;1;1;;;+00781265;+4806140;0;0
58;1;14162;P;3;37;;;27795;;1175;;8709;;1;1;1;1;1;1;;;+00801975;+4814145;0;0
58;1;14163;P;3;37;;;756;;1820;;8710;;1;1;1;1;1;1;;;+00841210;+4837200;0;0
58;1;14164;P;1;12;;;8304;;2394;;54892;;1;1;1;1;1;1;;;+00842910;+4853570;0;0
58;1;14165;P;1;12;;;7108;;42052;;8719;;0;1;1;0;1;1;;;+00786300;+4808940;0;0
58;1;14166;P;3;37;;;7521;;52687;;57838;;1;1;1;1;1;1;;;+00780990;+4826770;0;0
58;1;14167;P;1;15;;;19481;;3087;;57839;;1;1;1;1;1;1;;;+00793120;+4845830;0;0
58;1;14168;P;1;12;;24937;21814;;1263;;54878;;1;1;1;1;1;1;;;+00841820;+4846470;0;1
58;1;14170;P;1;15;;;19481;;3087;;54944;;1;1;1;1;1;1;;;+00793120;+4845830;0;0
58;1;14187;P;1;3;;;17510;;56050;;8771;;1;1;1;1;1;1;;;+00799455;+4755860;0;0
58;1;14188;P;1;15;;;9405;;57813;;;30760;1;1;1;1;1;1;;;+00773620;+4805530;0;0
58;1;14189;P;1;12;;;12527;;52834;;;30760;1;1;1;1;1;1;;;+00776820;+4804400;0;0
